datetime,season,year,month,day,dow,hour,holiday,workingday,weather,temp,atemp,humidity,windspeed,regrate,count,casual,registered
2011-1-1 0:00,1,2011,1,1,7,0,0,0,1,9.84,14.395,81,0,81.25,16,3,13
2011-1-1 1:00,1,2011,1,1,7,1,0,0,1,9.02,13.635,80,0,80,40,8,32
2011-1-1 2:00,1,2011,1,1,7,2,0,0,1,9.02,13.635,80,0,84.375,32,5,27
2011-1-1 3:00,1,2011,1,1,7,3,0,0,1,9.84,14.395,75,0,76.923,13,3,10
2011-1-1 4:00,1,2011,1,1,7,4,0,0,1,9.84,14.395,75,0,100,1,0,1
2011-1-1 5:00,1,2011,1,1,7,5,0,0,2,9.84,12.88,75,6.0032,100,1,0,1
2011-1-1 6:00,1,2011,1,1,7,6,0,0,1,9.02,13.635,80,0,0,2,2,0
2011-1-1 7:00,1,2011,1,1,7,7,0,0,1,8.2,12.88,86,0,66.667,3,1,2
2011-1-1 8:00,1,2011,1,1,7,8,0,0,1,9.84,14.395,75,0,87.5,8,1,7
2011-1-1 9:00,1,2011,1,1,7,9,0,0,1,13.12,17.425,76,0,42.857,14,8,6
2011-1-1 10:00,1,2011,1,1,7,10,0,0,1,15.58,19.695,76,16.9979,66.667,36,12,24
2011-1-1 11:00,1,2011,1,1,7,11,0,0,1,14.76,16.665,81,19.0012,53.571,56,26,30
2011-1-1 12:00,1,2011,1,1,7,12,0,0,1,17.22,21.21,77,19.0012,65.476,84,29,55
2011-1-1 13:00,1,2011,1,1,7,13,0,0,2,18.86,22.725,72,19.9995,50,94,47,47
2011-1-1 14:00,1,2011,1,1,7,14,0,0,2,18.86,22.725,72,19.0012,66.981,106,35,71
2011-1-1 15:00,1,2011,1,1,7,15,0,0,2,18.04,21.97,77,19.9995,63.636,110,40,70
2011-1-1 16:00,1,2011,1,1,7,16,0,0,2,17.22,21.21,82,19.9995,55.914,93,41,52
2011-1-1 17:00,1,2011,1,1,7,17,0,0,2,18.04,21.97,82,19.0012,77.612,67,15,52
2011-1-1 18:00,1,2011,1,1,7,18,0,0,3,17.22,21.21,88,16.9979,74.286,35,9,26
2011-1-1 19:00,1,2011,1,1,7,19,0,0,3,17.22,21.21,88,16.9979,83.784,37,6,31
2011-1-1 20:00,1,2011,1,1,7,20,0,0,2,16.4,20.455,87,16.9979,69.444,36,11,25
2011-1-1 21:00,1,2011,1,1,7,21,0,0,2,16.4,20.455,87,12.998,91.176,34,3,31
2011-1-1 22:00,1,2011,1,1,7,22,0,0,2,16.4,20.455,94,15.0013,60.714,28,11,17
2011-1-1 23:00,1,2011,1,1,7,23,0,0,2,18.86,22.725,88,19.9995,61.538,39,15,24
2011-1-2 0:00,1,2011,1,2,1,0,0,0,2,18.86,22.725,88,19.9995,76.471,17,4,13
2011-1-2 1:00,1,2011,1,2,1,1,0,0,2,18.04,21.97,94,16.9979,94.118,17,1,16
2011-1-2 2:00,1,2011,1,2,1,2,0,0,2,17.22,21.21,100,19.0012,88.889,9,1,8
2011-1-2 3:00,1,2011,1,2,1,3,0,0,2,18.86,22.725,94,12.998,66.667,6,2,4
2011-1-2 4:00,1,2011,1,2,1,4,0,0,2,18.86,22.725,94,12.998,33.333,3,2,1
2011-1-2 6:00,1,2011,1,2,1,6,0,0,3,17.22,21.21,77,19.9995,100,2,0,2
2011-1-2 7:00,1,2011,1,2,1,7,0,0,2,16.4,20.455,76,12.998,100,1,0,1
2011-1-2 8:00,1,2011,1,2,1,8,0,0,3,16.4,20.455,71,15.0013,100,8,0,8
2011-1-2 9:00,1,2011,1,2,1,9,0,0,2,15.58,19.695,76,15.0013,95,20,1,19
